2024-12-17 15:52:38,111 INFO    MainThread:9697 [wandb_setup.py:_flush():68] Current SDK version is 0.19.1
2024-12-17 15:52:38,112 INFO    MainThread:9697 [wandb_setup.py:_flush():68] Configure stats pid to 9697
2024-12-17 15:52:38,112 INFO    MainThread:9697 [wandb_setup.py:_flush():68] Loading settings from /root/.config/wandb/settings
2024-12-17 15:52:38,112 INFO    MainThread:9697 [wandb_setup.py:_flush():68] Loading settings from /root/autodl-tmp/vehicle_classification/resnet/wandb/settings
2024-12-17 15:52:38,112 INFO    MainThread:9697 [wandb_setup.py:_flush():68] Loading settings from environment variables
2024-12-17 15:52:38,112 INFO    MainThread:9697 [wandb_init.py:_log_setup():528] Logging user logs to /root/autodl-tmp/vehicle_classification/resnet/wandb/run-20241217_155238-9sgdbl64/logs/debug.log
2024-12-17 15:52:38,112 INFO    MainThread:9697 [wandb_init.py:_log_setup():529] Logging internal logs to /root/autodl-tmp/vehicle_classification/resnet/wandb/run-20241217_155238-9sgdbl64/logs/debug-internal.log
2024-12-17 15:52:38,112 INFO    MainThread:9697 [wandb_init.py:init():644] calling init triggers
2024-12-17 15:52:38,112 INFO    MainThread:9697 [wandb_init.py:init():650] wandb.init called with sweep_config: {}
config: {}
2024-12-17 15:52:38,112 INFO    MainThread:9697 [wandb_init.py:init():680] starting backend
2024-12-17 15:52:38,112 INFO    MainThread:9697 [wandb_init.py:init():684] sending inform_init request
2024-12-17 15:52:38,145 INFO    MainThread:9697 [backend.py:_multiprocessing_setup():104] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2024-12-17 15:52:38,147 INFO    MainThread:9697 [wandb_init.py:init():697] backend started and connected
2024-12-17 15:52:38,152 INFO    MainThread:9697 [wandb_init.py:init():790] updated telemetry
2024-12-17 15:52:38,155 INFO    MainThread:9697 [wandb_init.py:init():822] communicating run to backend with 90.0 second timeout
2024-12-17 15:52:39,020 INFO    MainThread:9697 [wandb_init.py:init():874] starting run threads in backend
2024-12-17 15:52:39,216 INFO    MainThread:9697 [wandb_run.py:_console_start():2374] atexit reg
2024-12-17 15:52:39,216 INFO    MainThread:9697 [wandb_run.py:_redirect():2224] redirect: wrap_raw
2024-12-17 15:52:39,216 INFO    MainThread:9697 [wandb_run.py:_redirect():2289] Wrapping output streams.
2024-12-17 15:52:39,216 INFO    MainThread:9697 [wandb_run.py:_redirect():2314] Redirects installed.
2024-12-17 15:52:39,218 INFO    MainThread:9697 [wandb_init.py:init():916] run started, returning control to user process
2024-12-17 15:59:19,744 INFO    MainThread:9697 [wandb_run.py:_finish():2100] finishing run 3096949504/resnet152_classification/9sgdbl64
2024-12-17 15:59:19,744 INFO    MainThread:9697 [wandb_run.py:_atexit_cleanup():2339] got exitcode: 0
2024-12-17 15:59:19,745 INFO    MainThread:9697 [wandb_run.py:_restore():2321] restore
2024-12-17 15:59:19,745 INFO    MainThread:9697 [wandb_run.py:_restore():2327] restore done
2024-12-17 15:59:23,065 INFO    MainThread:9697 [wandb_run.py:_footer_history_summary_info():3892] rendering history
2024-12-17 15:59:23,066 INFO    MainThread:9697 [wandb_run.py:_footer_history_summary_info():3924] rendering summary
2024-12-17 15:59:23,082 INFO    MainThread:9697 [wandb_run.py:_footer_sync_info():3853] logging synced files
