epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,59.7204,0.9271,0.88089,1,0.37183,0.000235796,0.000235796,0.000235796
2,108.755,0.31632,0.90674,1,0.29107,0.00042689,0.00042689,0.00042689
3,154.268,0.25258,0.87886,0.99899,0.37625,0.000570861,0.000570861,0.000570861
4,200.102,0.22607,0.92499,1,0.22904,0.000501942,0.000501942,0.000501942
5,248.102,0.20503,0.95641,1,0.13218,0.000431256,0.000431256,0.000431256
6,294.128,0.16317,0.95236,1,0.13944,0.00036057,0.00036057,0.00036057
7,340.158,0.15107,0.95793,1,0.15,0.000289884,0.000289884,0.000289884
8,381.297,0.1312,0.95996,1,0.13114,0.000219198,0.000219198,0.000219198
9,420.467,0.11354,0.96249,1,0.12659,0.000148512,0.000148512,0.000148512
10,463.298,0.10968,0.95895,1,0.12589,7.7826e-05,7.7826e-05,7.7826e-05
