epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,80.0232,1.24003,0.70603,0.99595,0.69238,0.000235796,0.000235796,0.000235796
2,134.366,0.46095,0.89863,1,0.30274,0.00042689,0.00042689,0.00042689
3,185.866,0.26928,0.90623,1,0.27287,0.000570861,0.000570861,0.000570861
4,240.116,0.2221,0.93614,1,0.19372,0.000501942,0.000501942,0.000501942
5,297.259,0.20395,0.94323,1,0.16512,0.000431256,0.000431256,0.000431256
6,348.994,0.17012,0.95236,1,0.16312,0.00036057,0.00036057,0.00036057
7,403.518,0.14523,0.96097,1,0.13006,0.000289884,0.000289884,0.000289884
8,457.77,0.13772,0.95996,1,0.13761,0.000219198,0.000219198,0.000219198
9,514.018,0.12051,0.96249,1,0.13531,0.000148512,0.000148512,0.000148512
10,571.462,0.11883,0.96047,1,0.13556,7.7826e-05,7.7826e-05,7.7826e-05
